sample_type,label,max_drawdown
mercury_retrograde,MR_2001_021,-0.05853977244899078
random_same_length,MR_2001_021,-0.008707517542448917
random_same_length,MR_2001_021,-0.045412806815820606
random_same_length,MR_2001_021,-0.02694859529013005
random_same_length,MR_2001_021,-0.012806715488924203
random_same_length,MR_2001_021,-0.04290054654733788
random_same_length,MR_2001_021,-0.01564701936101387
random_same_length,MR_2001_021,-0.0295942806915922
random_same_length,MR_2001_021,-0.05005710403637864
random_same_length,MR_2001_021,-0.05464426843494352
random_same_length,MR_2001_021,-0.015678615300422583
random_same_length,MR_2001_021,-0.029959636292900438
random_same_length,MR_2001_021,-0.03835802506222996
random_same_length,MR_2001_021,-0.01877014098646934
random_same_length,MR_2001_021,-0.03666264256401586
random_same_length,MR_2001_021,-0.017886815533049605
random_same_length,MR_2001_021,-0.014893039628358085
random_same_length,MR_2001_021,-0.026960270776822948
random_same_length,MR_2001_021,-0.020438092707149136
random_same_length,MR_2001_021,-0.03673507391803865
random_same_length,MR_2001_021,-0.038756789747388054
mercury_retrograde,MR_2001_022,-0.026358996192657358
random_same_length,MR_2001_022,-0.016696720631691142
random_same_length,MR_2001_022,-0.017878144334811608
random_same_length,MR_2001_022,-0.02475673039503723
random_same_length,MR_2001_022,-0.011149947134073246
random_same_length,MR_2001_022,-0.0494260442027451
random_same_length,MR_2001_022,-0.03527185569784819
random_same_length,MR_2001_022,-0.024391082077444004
random_same_length,MR_2001_022,-0.2852031811628635
random_same_length,MR_2001_022,-0.023584276873189647
random_same_length,MR_2001_022,-0.003993321209064926
random_same_length,MR_2001_022,-0.02252519051831048
random_same_length,MR_2001_022,-0.036670805943343154
random_same_length,MR_2001_022,-0.01912643951129467
random_same_length,MR_2001_022,-0.0282830349288975
random_same_length,MR_2001_022,-0.0295942806915922
random_same_length,MR_2001_022,-0.03538445141968316
random_same_length,MR_2001_022,-0.03602711340802944
random_same_length,MR_2001_022,-0.016696720631691142
random_same_length,MR_2001_022,-0.025251202485537583
random_same_length,MR_2001_022,-0.02660881386366043
mercury_retrograde,MR_2002_023,-0.04686395593198067
random_same_length,MR_2002_023,-0.008572555644746127
random_same_length,MR_2002_023,-0.01478752373022263
random_same_length,MR_2002_023,-0.03666264256401586
random_same_length,MR_2002_023,-0.0874080095403531
random_same_length,MR_2002_023,-0.005122452280258649
random_same_length,MR_2002_023,-0.011509507575225841
random_same_length,MR_2002_023,-0.007380688507586219
random_same_length,MR_2002_023,-0.03664696978795501
random_same_length,MR_2002_023,-0.025036495050038576
random_same_length,MR_2002_023,-0.008887605310606284
random_same_length,MR_2002_023,-0.020288612715960386
random_same_length,MR_2002_023,-0.01641946281560769
random_same_length,MR_2002_023,-0.04290054654733788
random_same_length,MR_2002_023,-0.023584276873189647
random_same_length,MR_2002_023,-0.019570923054502698
random_same_length,MR_2002_023,-0.04081295919400363
random_same_length,MR_2002_023,-0.045361489038858505
random_same_length,MR_2002_023,-0.0015011590075549863
